train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.15625,0.06370259076356888,4.18077278137207,0,49,,,,,,
0.296875,0.11044137179851532,3.5494861602783203,0,99,,,,,,
0.125,0.05115741118788719,3.8429553508758545,0,149,,,,,,
,,,0,173,0.2827140688896179,0.09352857619524002,3.320636034011841,,,
,,,0,173,,,,0.1663074642419815,0.036496154963970184,3.9119322299957275
0.375,0.2802325487136841,2.7887790203094482,1,199,,,,,,
0.3125,0.15121382474899292,3.054976463317871,1,249,,,,,,
0.40625,0.26621317863464355,2.799295425415039,1,299,,,,,,
,,,1,347,0.3734517991542816,0.170363187789917,2.7975738048553467,,,
,,,1,347,,,,0.3591056168079376,0.1582985818386078,2.8392744064331055
0.46875,0.31157800555229187,2.29886531829834,2,349,,,,,,
0.484375,0.30222222208976746,2.388725996017456,2,399,,,,,,
0.53125,0.3847076892852783,2.2310891151428223,2,449,,,,,,
0.46875,0.3601190745830536,2.4217066764831543,2,499,,,,,,
,,,2,521,0.4316101372241974,0.2305552065372467,2.5617003440856934,,,
,,,2,521,,,,0.46928879618644714,0.32633844017982483,2.2983462810516357
0.578125,0.41016486287117004,1.870452880859375,3,549,,,,,,
0.640625,0.4843760132789612,1.650164008140564,3,599,,,,,,
0.546875,0.40612244606018066,2.0357770919799805,3,649,,,,,,
,,,3,695,0.45368874073028564,0.25474125146865845,2.438138484954834,,,
,,,3,695,,,,0.548042356967926,0.4825270175933838,1.9622526168823242
0.734375,0.581379771232605,1.3911917209625244,4,699,,,,,,
0.625,0.5300405025482178,1.8877124786376953,4,749,,,,,,
0.640625,0.5547152757644653,1.663161039352417,4,799,,,,,,
0.515625,0.3936366140842438,2.206308126449585,4,849,,,,,,
,,,4,869,0.46634355187416077,0.2787691056728363,2.3549468517303467,,,
,,,4,869,,,,0.6153915524482727,0.6246412992477417,1.7101517915725708
0.78125,0.6415282487869263,1.3556849956512451,5,899,,,,,,
0.640625,0.5061110854148865,1.6135435104370117,5,949,,,,,,
0.65625,0.4664722979068756,1.4603468179702759,5,999,,,,,,
,,,5,1043,0.4773828685283661,0.29193106293678284,2.315924644470215,,,
,,,5,1043,,,,0.6555315852165222,0.7015243768692017,1.5371520519256592
0.6875,0.5735930800437927,1.3905314207077026,6,1049,,,,,,
0.6875,0.5300866365432739,1.2898097038269043,6,1099,,,,,,
0.75,0.6512969136238098,1.3061637878417969,6,1149,,,,,,
0.71875,0.5784761905670166,1.361893892288208,6,1199,,,,,,
,,,6,1217,0.49030694365501404,0.3102470338344574,2.279157876968384,,,
,,,6,1217,,,,0.6998922228813171,0.756740152835846,1.377873420715332
0.734375,0.6840211749076843,1.1902143955230713,7,1249,,,,,,
0.6875,0.5758094787597656,1.2439262866973877,7,1299,,,,,,
0.71875,0.6088094711303711,1.3797169923782349,7,1349,,,,,,
,,,7,1391,0.4919224679470062,0.3168352246284485,2.2638778686523438,,,
,,,7,1391,,,,0.7336565852165222,0.8038409352302551,1.266434907913208
0.78125,0.5897880792617798,1.015506625175476,8,1399,,,,,,
0.75,0.6163182258605957,1.1621558666229248,8,1449,,,,,,
0.828125,0.7391535043716431,0.9974626898765564,8,1499,,,,,,
0.828125,0.7518094778060913,1.021679162979126,8,1549,,,,,,
,,,8,1565,0.49865373969078064,0.3032502830028534,2.2417495250701904,,,
,,,8,1565,,,,0.7575430870056152,0.8303235173225403,1.1655815839767456
0.90625,0.8763889074325562,0.7905414700508118,9,1599,,,,,,
0.65625,0.5067099332809448,1.2899783849716187,9,1649,,,,,,
0.8125,0.7736155986785889,1.0796664953231812,9,1699,,,,,,
,,,9,1739,0.5115777850151062,0.3225366771221161,2.2446255683898926,,,
,,,9,1739,,,,0.787446141242981,0.8566732406616211,1.0660327672958374
